"ano_pesquisa","senioridade","genero","volume","media_salarial","diferenca_para_media"
"2025","Júnior","Masculino","672","6576.65","374.5100000000002"
"2025","Júnior","Feminino","230","5827.63","-374.5099999999993"
"2025","Pleno","Masculino","1133","12533.66","702.1899999999987"
"2025","Pleno","Feminino","322","11129.28","-702.1900000000005"
"2025","Sênior+","Masculino","897","18566.83","425.4300000000003"
"2025","Sênior+","Feminino","215","17715.97","-425.4300000000003"
"2024","Júnior","Masculino","1095","6201.65","152.64500000000044"
"2024","Júnior","Feminino","413","5896.36","-152.64499999999953"
"2024","Pleno","Masculino","1699","12192.67","798.6949999999997"
"2024","Pleno","Feminino","511","10595.28","-798.6949999999997"
"2024","Sênior+","Masculino","1168","18126.4","995.9850000000006"
"2024","Sênior+","Feminino","301","16134.43","-995.9850000000006"
"2023","Júnior","Masculino","1349","5877.8","343.1449999999995"
"2023","Júnior","Feminino","484","5191.51","-343.14500000000044"
"2023","Pleno","Masculino","1500","11313.87","537.914999999999"
"2023","Pleno","Feminino","420","10238.04","-537.9150000000009"
"2023","Sênior+","Masculino","1122","16822.36","1620.9799999999996"
"2023","Sênior+","Feminino","389","13580.4","-1620.9800000000014"
